date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,4,440.6,0,9.6,77.25,11.21,44.11,55.34,1.65
1640998800,4,453.95,0,10.2,79.39,11.44,45.22,57.18,1.74
1641002400,4,560.76,0.02,14.91,77.25,13.23,46.26,59.88,2.6
1641006000,4,634.19,0.32,19.54,76.53,15.26,47.94,63.51,2.72
1641009600,5,547.41,0.54,13.71,92.98,18.12,53.48,70.75,0.65
1641013200,5,554.08,0.74,11.14,103,18.84,69.31,87.41,0
1641016800,5,540.73,0.87,9.68,110.15,18.84,78.4,95.55,0
1641020400,5,494,1.03,9.6,107.29,19.79,71.3,85.65,0
1641024000,5,453.95,1.01,9,101.57,17.88,58.39,71.35,0
1641027600,4,427.25,0.94,8.74,95.84,15.97,49.67,61.59,0
1641031200,5,473.98,1.12,11.48,90.12,15.26,50.9,63.55,0.21
1641034800,5,554.08,1.12,16.11,86.55,15.5,57.97,71.69,0.82
1641038400,5,654.22,0.44,24.33,80.11,16.93,69.62,85.86,0.96
1641042000,5,707.63,0.01,26.39,80.11,17.17,79.41,99.21,0.76
1641045600,5,694.27,0,22.28,87.26,16.93,84.04,107.5,0.74
1641049200,5,660.9,0,18.51,91.55,16.93,81.52,106.84,0.93
1641052800,5,607.49,0,14.39,95.84,15.14,74.52,101.24,0.89
1641056400,5,594.14,0,12.68,98.71,13.83,69.39,95.94,1.2
1641060000,5,567.44,0,11.82,100.14,12.64,66.15,91.95,1.01
1641063600,5,514.03,0,10.37,103,11.21,63.86,89.37,0.3
1641067200,5,487.33,0,8.4,107.29,10.37,63.9,91.27,0.07
1641070800,5,487.33,0,7.03,108.72,9.78,64.85,93.26,0.12
1641074400,5,487.33,0,6.94,108.72,9.89,63.94,92.3,0.38
1641078000,5,487.33,0,7.11,105.86,10.25,61.37,88.25,0.65
1641081600,5,494,0,7.8,104.43,10.61,59.53,85.71,0.86
1641085200,5,514.03,0,8.91,103,11.21,59.25,84.13,1.09
1641088800,5,614.17,0.01,14.57,97.27,14.66,63.9,87.96,2.37
1641092400,5,694.27,0.23,22.28,90.12,20.27,66.41,89.08,3.23
1641096000,5,580.79,0.68,18.51,95.84,25.03,60.81,81.85,1.63
1641099600,5,527.38,1.1,13.54,103,23.37,58.71,81.19,1.11
1641103200,5,500.68,1.23,10.28,110.15,21.7,59.99,83.69,0.5
1641106800,5,494,1.26,9.42,114.44,22.17,61.89,86.45,0.06
1641110400,5,500.68,1.12,9.34,113.01,21.22,66.06,91.84,0
1641114000,5,507.35,0.98,9.68,110.15,20.03,71.41,98.11,0
1641117600,5,527.38,1.08,11.82,105.86,20.98,75.28,103.61,0
1641121200,5,554.08,0.99,14.22,98.71,20.27,73.78,102.12,0.07
1641124800,5,574.11,0.38,17.99,87.98,18.84,67.3,93.9,0.56
1641128400,5,574.11,0,18.51,81.54,16.21,60.13,85.46,1.12
1641132000,5,580.79,0,17.31,80.11,15.5,55.72,79.25,1.98
1641135600,5,587.46,0,15.94,81.54,15.5,54.69,76.66,2.5
1641139200,5,580.79,0,13.71,85.83,13.71,55.07,76.4,2.53
1641142800,5,600.81,0,12.85,89.41,12.52,57.74,79.31,2.72
1641146400,5,594.14,0,12.51,92.98,11.44,60.41,82.27,2.34
1641150000,5,547.41,0,11.31,98.71,10.01,61.44,83.07,1.36
1641153600,5,547.41,0,10.71,103,10.85,66.17,88.51,1.39
1641157200,5,560.76,0,9.94,107.29,11.56,71.24,94.34,1.35
1641160800,5,580.79,0,10.28,105.86,12.4,74.36,97.46,1.47
1641164400,5,620.84,0,11.82,98.71,13.47,74.49,96.54,1.79
1641168000,5,667.57,0,14.74,90.12,14.78,73.21,93.98,2.25
1641171600,5,734.33,0,19.02,80.82,16.45,71.43,91.44,2.91
1641175200,5,988.01,0.15,33.59,65.09,22.89,78.53,100.11,5.95
1641178800,5,1121.52,3.07,44.55,60.8,32.42,81.59,104.56,7.22
1641182400,5,714.3,3.46,27.76,90.84,41.01,65.72,86.25,2.56
1641186000,5,600.81,2.93,19.54,108.72,37.67,61.72,81.79,1.39
1641189600,5,534.06,2.26,14.57,121.59,33.38,60.83,79.97,0.32
1641193200,5,507.35,1.98,12.51,125.89,31.47,60.62,77.09,0
1641196800,5,500.68,1.76,11.65,125.89,28.13,62.43,77.28,0
1641200400,5,507.35,1.61,11.31,123.02,25.27,63.82,78.03,0
1641204000,5,547.41,1.76,14.57,114.44,26.23,66.36,81.44,0.55
1641207600,5,607.49,1.48,19.36,104.43,25.75,69.69,86.11,1.69
1641211200,5,674.25,0.47,25.7,95.84,24.32,73.97,91.2,2.34
1641214800,5,747.68,0.01,28.1,90.12,20.27,77.65,95.58,3.17
1641218400,5,814.44,0,29.13,87.26,19.79,79.16,98.09,4.81
1641222000,5,854.49,0,28.79,85.12,21.22,77.49,96.96,5.95
1641225600,5,847.82,0,26.05,85.12,20.27,73.35,92.84,5.95
1641229200,5,854.49,0,24.68,85.12,19.55,73.29,93.02,5.95
1641232800,5,827.79,0,24.33,85.12,18.36,74.16,94.28,4.94
1641236400,5,720.98,0,22.28,87.26,15.74,72.03,91.68,2.79
1641240000,5,640.87,0,18.34,90.12,14.54,70.35,89.54,2.03
1641243600,5,607.49,0,15.08,92.98,14.19,69,87.84,2.03
1641247200,5,620.84,0,14.91,89.41,14.78,68.89,87.74,2.41
1641250800,5,654.22,0,16.11,82.97,15.5,69.51,88.48,2.82
1641254400,5,700.95,0,18.85,74.39,16.45,70.01,89.28,3.23
1641258000,5,761.03,0,22.62,67.95,17.64,68.38,87.67,3.8
1641261600,5,1028.06,0.26,38.04,52.93,23.13,74.84,96.06,7.03
1641265200,5,1201.63,4.69,48.67,47.92,30.04,76.2,99.41,8.99
1641268800,4,594.14,3.52,25.7,85.83,38.15,48.1,65.46,3.45
1641272400,4,480.65,3.07,17.82,103,35.29,42.97,57.61,2.63
1641276000,4,433.92,2.51,13.54,114.44,31.95,43.4,56.31,1.87
1641279600,4,427.25,2.18,12.34,124.45,30.99,47.87,59.78,1.22
1641283200,5,433.92,1.76,11.48,128.75,28.13,55.16,67.06,0.61
1641286800,5,453.95,1.42,11.48,131.61,25.51,63.6,76.08,0.17
1641290400,5,520.71,1.58,15.59,125.89,28.37,70.14,84.11,1.03
1641294000,5,600.81,1.37,21.25,114.44,29.56,74.02,89.63,2.37
1641297600,5,680.92,0.47,28.45,100.14,29.09,77.21,94.09,3.29
1641301200,5,774.38,0.01,32.9,86.55,25.51,80.3,98.63,4.75
1641304800,5,867.84,0,34.62,78.68,24.08,81.29,100.75,7.16
