date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,3,460.62,0,6.34,47.21,6.14,21.06,22.91,1.01
1640998800,2,447.27,0,5.91,48.64,4.77,17.42,19.43,1.16
1641002400,2,440.6,0.01,6.6,50.07,4.11,14.07,16.19,1.3
1641006000,2,420.57,0.2,6.68,55.07,3.7,10.58,12.48,1.28
1641009600,1,363.83,0.29,4.11,66.52,3.19,6.72,7.83,0.79
1641013200,1,353.81,0.35,3.34,71.53,3.19,6.57,7.57,0.84
1641016800,2,357.15,0.33,2.87,80.11,3.49,7.16,8.18,0.94
1641020400,2,360.49,0.23,2.38,88.69,3.7,7.57,8.44,0.99
1641024000,2,370.5,0.22,2.78,92.98,4.47,9.18,10.01,1.14
1641027600,2,387.19,0.25,3.94,94.41,6.68,11.96,12.83,1.23
1641031200,2,400.54,0.23,5.48,92.98,9.18,14.3,15.21,1.3
1641034800,2,403.88,0.11,6.43,92.98,9.78,14.76,15.71,1.44
1641038400,2,397.21,0.02,6.77,91.55,8.11,13.15,14.07,1.61
1641042000,2,397.21,0,7.28,87.26,5.9,11.23,12.26,1.96
1641045600,2,417.23,0,9.25,78.68,5.25,11.14,12.53,2.31
1641049200,2,433.92,0,10.02,73.67,5.25,11.92,13.59,2.09
1641052800,2,447.27,0,10.28,69.38,5.25,13.11,15.24,2.01
1641056400,2,460.62,0,10.62,64.37,5.3,14.69,17.29,2.06
1641060000,2,467.3,0,10.8,59.37,5.6,16.69,19.35,1.92
1641063600,2,473.98,0,10.54,54.36,6.14,19.5,22.02,1.69
1641067200,3,473.98,0,9.77,50.78,6.68,23.69,26.09,1.47
1641070800,4,480.65,0,8.91,48.64,6.97,28.06,30.49,1.31
1641074400,4,480.65,0,8.05,47.21,6.26,28.83,31.26,1.33
1641078000,4,480.65,0,7.2,45.78,5.01,26.89,29.45,1.49
1641081600,3,480.65,0,6.43,46.49,4.05,24.59,27.18,1.57
1641085200,3,487.33,0,6.43,47.92,3.58,22.28,25.02,1.66
1641088800,2,500.68,0.01,7.97,46.49,3.64,19.76,22.99,1.82
1641092400,2,487.33,0.36,8.83,45.78,3.73,16.72,20.13,1.87
1641096000,2,370.5,0.33,4.58,58.65,3.25,10.94,13.24,0.87
1641099600,2,357.15,0.33,3.86,65.09,3.61,11.45,13.94,0.86
