date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,2,390.53,0,5.91,29.33,4.35,13.7,15.87,1.39
1640998800,2,387.19,0,5.01,30.76,3.31,13.94,16.47,1.73
1641002400,2,407.22,0.01,5.57,29.33,2.89,14.78,18.21,2.25
1641006000,2,433.92,0.15,6.85,25.75,2.77,15.53,19.86,2.79
1641009600,2,460.62,0.38,7.37,26.11,2.77,15.94,20.51,2.98
1641013200,2,460.62,0.36,7.03,30.76,2.86,15.38,19.36,2.63
1641016800,2,447.27,0.35,6.17,38.98,3.04,13.63,16.58,2.18
1641020400,2,420.57,0.23,4.84,49.35,2.98,11.39,13.46,1.8
1641024000,1,387.19,0.11,3.56,58.65,2.38,9.59,11.11,1.6
1641027600,1,360.49,0.06,2.74,66.52,1.91,9.42,10.59,1.41
1641031200,2,357.15,0.06,3.21,65.09,1.86,11.78,13.15,1.71
1641034800,2,380.52,0.1,5.1,58.65,2.71,15.91,18.03,2.44
1641038400,3,410.56,0.09,8.05,54.36,4.77,20.36,23.32,3.58
1641042000,4,440.6,0.01,10.8,51.5,7.99,25.35,29.14,4.43
1641045600,4,460.62,0,10.97,47.21,9.42,30.01,34.33,3.45
1641049200,4,460.62,0,10.28,45.42,10.13,33.79,37.97,2.37
1641052800,4,447.27,0,9.85,46.49,11.21,36.84,40.45,1.71
1641056400,4,433.92,0,9.94,45.06,11.68,38.37,41.79,1.5
1641060000,4,427.25,0,9.77,42.92,11.44,37.26,40.32,1.3
1641063600,4,433.92,0,8.48,41.84,9.18,35.48,38.18,1.22
1641067200,4,440.6,0,6.43,43.63,6.38,34.92,37.71,1.33
1641070800,4,447.27,0,4.63,47.21,4.23,36.05,39.23,1.44
1641074400,4,453.95,0,3.51,48.64,2.98,38.01,41.69,1.61
1641078000,4,453.95,0,3.04,47.92,2.38,38.81,42.8,1.77
1641081600,4,460.62,0,2.91,45.78,2.26,38.46,42.58,1.88
1641085200,4,467.3,0,3.21,45.06,2.5,36.78,40.95,1.92
1641088800,4,494,0,4.24,42.92,2.8,35.2,39.57,2.03
1641092400,4,514.03,0.03,5.48,39.7,3.1,34.71,39.09,2.06
1641096000,4,520.71,0.09,6.08,40.05,3.37,35.19,39.41,1.87
1641099600,4,514.03,0.09,6.25,42.56,3.67,35.87,40.05,1.58
1641103200,4,500.68,0.07,6.34,45.42,4.05,36,40.08,1.41
1641106800,4,487.33,0.18,5.74,50.07,4.17,35.26,39.2,1.35
1641110400,4,453.95,0.17,4.46,60.08,3.55,32.43,36.21,1.31
1641114000,4,407.22,0.14,3.08,67.95,2.65,27.99,31.53,1.27
1641117600,3,380.52,0.13,2.48,70.81,2.12,24.14,27.38,1.33
1641121200,3,373.84,0.13,2.83,72.24,2.21,23.59,26.72,1.49
1641124800,4,387.19,0.08,3.98,78.68,3.99,27.63,31.13,1.55
1641128400,4,410.56,0,5.23,91.55,8.23,35.66,40.24,1.5
1641132000,4,423.91,0,5.57,100.14,11.09,42.27,48.74,1.55
1641135600,4,417.23,0,5.57,94.41,10.97,42.7,51.6,1.65
1641139200,4,410.56,0,5.74,79.39,8.46,39.94,51.87,1.87
1641142800,4,413.89,0,6.25,61.51,6.5,38.28,52.91,2.28
1641146400,4,410.56,0,6.6,49.35,5.84,38.08,54.04,2.69
1641150000,4,397.21,0,6.51,42.2,6.5,38.96,55.15,2.88
1641153600,4,390.53,0,6.43,39.34,8.34,42.37,59.14,2.69
1641157200,4,387.19,0,6.43,39.34,10.01,47.55,64.48,2.41
1641160800,5,390.53,0,6.08,40.77,10.49,52.91,69.76,1.9
1641164400,5,400.54,0,6,39.7,10.25,58.85,76.58,1.46
1641168000,5,413.89,0,5.74,40.41,9.54,63.99,83.5,1.14
1641171600,5,433.92,0,5.44,42.2,7.99,68.32,89.22,1.12
1641175200,5,460.62,0.01,5.83,41.48,6.08,70.92,92.47,1.5
1641178800,5,494,0.28,6.85,40.41,5.19,71.05,92.13,1.77
1641182400,5,494,0.69,6.51,45.78,4.71,64.26,82.27,1.65
1641186000,4,453.95,0.54,4.67,57.94,3.99,49.42,62.57,1.33
1641189600,4,413.89,0.33,3.08,70.1,3.58,39.18,49.02,1.19
1641193200,4,390.53,0.21,2.25,76.53,3.19,34.08,42.27,1.22
1641196800,4,360.49,0.15,2.06,73.67,2.47,26.49,33.21,1.39
1641200400,3,340.46,0.12,2.16,70.1,1.94,21.09,27.16,1.49
1641204000,2,333.79,0.18,2.48,65.8,1.64,19.43,26.01,1.85
1641207600,3,343.8,0.29,3.26,63.66,1.55,20.21,27.64,2.44
1641211200,3,363.83,0.25,4.67,62.94,1.51,22.89,31.23,2.88
1641214800,4,397.21,0.02,6.25,65.8,2.47,29.58,39.17,3.13
1641218400,4,447.27,0,7.45,71.53,6.08,41.95,53.26,3.32
1641222000,5,494,0,8.48,75.82,10.13,54.13,67,3.29
1641225600,5,520.71,0,9.17,71.53,11.56,60.51,74.51,3.17
1641229200,5,534.06,0,9.42,58.65,9.54,60.7,76.22,3.26
1641232800,5,520.71,0,9.08,47.21,6.74,57.53,73.86,3.23
1641236400,5,494,0,7.88,39.34,4.35,54.91,70.93,3.55
1641240000,5,473.98,0,6.68,35.41,3.25,54.36,70.31,4.62
1641243600,5,460.62,0,5.74,36.48,3.22,55.71,71.7,6.08
1641247200,5,453.95,0,5.18,38.62,3.67,58.87,74.93,7.28
1641250800,5,447.27,0,4.71,37.91,4.11,63.59,79.7,6.33
1641254400,5,447.27,0,4.63,35.41,4.95,70.09,86.38,4.5
1641258000,5,460.62,0,5.74,31.83,6.56,78.56,95.46,2.75
1641261600,5,507.35,0.02,8.74,26.82,7.03,85.06,103.45,2.41
1641265200,5,540.73,0.11,10.45,31.47,6.02,84.97,102.76,1.68
1641268800,5,487.33,0.16,6.68,61.51,5.48,67.21,79.9,0.63
1641272400,5,473.98,0.22,5.1,72.96,4.17,51.87,61.2,1.03
1641276000,4,460.62,0.27,4.28,80.11,3.93,45.78,53.6,1.2
1641279600,4,453.95,0.34,3.38,87.26,3.78,44.59,51.9,1.35
1641283200,4,440.6,0.25,2.68,91.55,3.19,38.74,45.18,1.41
1641286800,4,417.23,0.23,2.33,90.84,2.68,32.52,38.32,1.39
1641290400,4,403.88,0.25,2.55,86.55,2.35,29.1,34.95,1.73
1641294000,4,403.88,0.3,3.51,80.11,2.09,27.49,33.75,2.37
1641297600,4,410.56,0.22,5.18,72.96,1.91,26.64,33.3,2.98
1641301200,4,423.91,0.02,6.77,66.52,1.83,26.92,34.35,3.51
1641304800,4,447.27,0,7.97,60.8,2,29.6,38.63,4.24
1641308400,4,467.3,0,8.65,58.65,2.47,34.17,45.12,4.75
1641312000,4,487.33,0,8.57,65.8,4.89,43.27,55.7,4.5
1641315600,5,500.68,0,8.65,70.1,8.11,55.35,69.1,3.77
1641319200,5,487.33,0,8.23,65.8,7.75,58.05,71.92,3.13
1641322800,5,453.95,0,7.11,55.79,4.59,53.03,66.44,2.79
1641326400,4,427.25,0,5.74,48.64,2.53,49.67,63.19,3.1
1641330000,4,407.22,0,4.54,47.21,1.86,48.87,62.62,3.93
1641333600,5,400.54,0,3.9,47.21,1.88,50.33,64.31,4.75
1641337200,5,397.21,0,3.64,44.7,2.38,53.32,67.53,4.43
1641340800,5,400.54,0,3.81,40.05,3.46,57.83,72.49,3.93
1641344400,5,420.57,0,4.97,35.41,5.25,64.54,80.63,3.7
1641348000,5,480.65,0.06,7.97,30.76,7.75,73.78,93.18,4.43
1641351600,5,540.73,1.08,10.37,32.9,10.13,83.24,105.32,5
1641355200,5,547.41,1.69,9.77,50.78,11.44,86.69,108.94,4.94
1641358800,5,534.06,1.15,7.8,73.67,10.01,83.82,105.08,5.26
1641362400,5,514.03,0.61,5.4,94.41,8.23,80.19,99.09,4.94
1641366000,5,494,0.43,3.64,110.15,7.33,78.43,95.26,4.5
1641369600,5,473.98,0.37,3.17,115.87,6.62,73.9,88.44,4.24
1641373200,5,447.27,0.38,3.17,118.73,6.08,66.74,78.75,3.8
1641376800,5,453.95,0.47,4.33,114.44,5.72,64.82,76.29,4.94
1641380400,5,494,0.54,7.03,113.01,5.78,67.45,80.32,7.66
1641384000,5,540.73,0.34,11.65,105.86,6.38,69.86,84.14,10.77
1641387600,5,587.46,0.02,14.91,88.69,6.74,69.61,84.9,12.29
1641391200,5,607.49,0,14.39,65.8,5.48,68.07,84.23,10.39
1641394800,5,594.14,0,12.68,55.07,4.05,64.32,80.24,7.09
1641398400,5,514.03,0,9.68,62.94,3.28,57.12,70.6,4.81
1641402000,5,500.68,0,9,61.51,3.07,56.95,71.45,4.69
1641405600,5,487.33,0,8.23,64.37,4.11,60.97,76.21,4.37
1641409200,5,473.98,0,7.2,62.23,5.3,67.79,83.17,4.02
1641412800,5,480.65,0,6.25,55.07,5.3,74.72,90.69,3.99
1641416400,5,494,0,5.65,48.64,4.59,79.66,96.3,4.5
1641420000,5,500.68,0,5.18,41.84,3.58,82.7,99.79,5.07
1641423600,5,507.35,0,4.88,34.69,2.53,83.24,100.62,4.81
1641427200,5,507.35,0,4.84,30.04,1.88,83.47,100.82,4.18
1641430800,5,527.38,0.01,6,25.75,1.88,82.53,100.02,4.02
1641434400,5,594.14,0.13,10.02,18.95,3.19,82.17,101.17,4.62
