date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,2,440.6,0,6.08,37.91,2.5,10.84,13.46,2.34
1640998800,1,427.25,0,6,43.27,2.56,9.92,12.28,2.18
1641002400,2,440.6,0.06,7.88,44.35,2.74,10.48,13.27,2.34
1641006000,2,453.95,0.89,8.65,48.64,3.1,10.77,13.7,2.5
1641009600,2,413.89,0.91,5.83,65.09,5.13,10.92,13.02,1.69
1641013200,2,403.88,0.68,6.25,71.53,10.13,12.72,14.75,1.55
1641016800,2,397.21,0.43,10.2,71.53,19.31,12.94,14.96,1.44
1641020400,1,363.83,0.21,9.85,76.53,19.31,9.37,10.85,1.12
1641024000,2,337.12,0.33,6.68,85.12,14.31,7.85,9,1.03
1641027600,2,323.77,0.36,5.36,92.98,12.16,8.53,9.65,1.08
1641031200,2,330.45,0.42,5.91,97.27,11.8,9.67,10.9,1.41
1641034800,2,347.14,0.46,8.4,95.84,12.76,11.14,12.57,2.01
1641038400,2,370.5,0.28,11.65,90.12,13.59,13.82,15.45,2.37
1641042000,2,407.22,0.01,14.74,79.39,12.64,18.02,20.24,2.98
1641045600,3,460.62,0,17.99,67.23,12.87,22.67,26.09,3.51
1641049200,4,514.03,0,20.73,57.94,15.02,27.24,31.94,3.64
1641052800,4,567.44,0,23.31,48.64,15.14,32.47,39.15,4.31
1641056400,4,647.54,0,25.7,36.12,12.28,38.36,47.45,4.56
1641060000,4,700.95,0.01,25.36,28.97,9.06,42.92,53.11,4.43
1641063600,4,694.27,0,20.22,30.76,6.38,43.51,52.66,3.96
1641067200,4,634.19,0,13.37,38.98,4.65,40.64,47.88,3.1
1641070800,4,560.76,0,7.97,47.92,3.61,36.16,41.3,2.37
1641074400,4,500.68,0,4.93,53.64,2.83,31.05,34.64,1.88
1641078000,4,473.98,0,4.16,52.93,2.29,27.88,31.17,1.84
1641081600,4,453.95,0,4.2,50.78,2.12,29.38,33.11,1.87
1641085200,4,447.27,0,5.06,49.35,2.18,32.86,37.5,1.95
1641088800,4,453.95,0.04,7.45,47.21,2.59,34.8,40.64,2.06
1641092400,4,460.62,0.78,8.57,50.07,3.22,36.19,43.16,2.18
1641096000,4,417.23,0.57,7.2,65.8,8.34,33.01,39.96,1.06
1641099600,4,417.23,1.08,8.4,72.96,15.26,32.19,39.98,1.09
