date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,3,400.54,0,11.82,29.68,14.31,23.3,25.35,0.22
1640998800,3,387.19,0,9.25,35.41,11.32,21.97,24.3,0.18
1641002400,3,383.85,0.01,7.03,42.92,7.99,21,23.67,0.25
1641006000,2,380.52,0.11,5.48,50.78,5.3,19.6,22.27,0.38
1641009600,2,370.5,0.23,3.86,58.65,3.81,15.65,17.72,0.49
1641013200,2,367.16,0.29,3.26,64.37,3.58,12.6,14.15,0.64
1641016800,2,373.84,0.32,3.08,68.66,3.81,10.07,11.19,0.71
1641020400,1,377.18,0.3,2.74,73.67,3.76,8.09,8.76,0.62
1641024000,1,383.85,0.34,2.74,78.68,4.17,9.11,9.6,0.55
1641027600,2,387.19,0.43,3.3,85.12,5.66,12.47,12.93,0.46
1641031200,2,407.22,0.62,5.31,88.69,8.94,19.97,20.57,0.55
1641034800,4,433.92,0.54,7.8,87.26,11.44,28.27,29.07,0.68
1641038400,4,447.27,0.2,9.25,81.54,10.01,29.75,30.64,0.79
1641042000,3,433.92,0.01,8.31,72.24,5.96,23.66,24.59,0.94
1641045600,2,413.89,0,6.51,68.66,3.34,18.48,19.49,1.01
1641049200,3,403.88,0,5.65,71.53,3.19,20.61,21.89,0.94
1641052800,4,400.54,0,5.83,72.24,5.19,26.63,28.7,0.83
1641056400,4,410.56,0,7.37,65.8,9.89,28.64,31.23,0.64
1641060000,4,440.6,0,9.42,59.37,16.45,30.35,32.91,0.39
1641063600,4,467.3,0,9.94,57.22,20.03,33.45,35.84,0.17
1641067200,4,480.65,0,8.14,60.8,17.64,35.97,38.52,0.1
1641070800,4,473.98,0,5.83,67.95,12.87,38.31,41.34,0.06
1641074400,4,460.62,0,4.07,74.39,9.54,39.03,42.27,0
1641078000,4,447.27,0,3.21,79.39,7.99,41.45,44.98,0
1641081600,4,447.27,0,2.96,80.82,7.75,47.83,52.07,0
1641085200,5,453.95,0,3.21,79.39,7.75,56.27,61.56,0
1641088800,5,467.3,0,3.98,76.53,7.09,65.83,72.59,0
1641092400,5,473.98,0.06,4.58,74.39,6.2,68.5,76.85,0
1641096000,5,460.62,0.13,4.33,75.82,5.6,64.43,73.36,0
