date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,2,453.95,0,7.8,31.47,5.66,13.05,15.85,2.66
1640998800,2,410.56,0,8.4,42.92,13.47,11.65,13.74,1.6
1641002400,2,403.88,0.03,9.42,47.21,17.88,12.38,14.71,1.41
1641006000,2,400.54,0.61,10.62,50.07,24.08,12.18,14.72,1.3
1641009600,1,377.18,1.1,9.6,59.37,25.27,9.69,11.93,1
1641013200,1,350.48,0.95,7.28,70.81,20.27,7.02,8.9,0.9
1641016800,2,327.11,0.7,5.48,80.82,16.21,6.14,7.78,0.79
1641020400,2,313.76,0.54,4.76,87.26,14.66,7.25,8.76,0.66
1641024000,2,320.43,0.44,4.71,89.41,13.95,8.67,10.11,0.7
1641027600,2,330.45,0.34,4.88,89.41,13.35,10.03,11.42,0.78
1641031200,2,350.48,0.36,5.74,87.26,14.78,13.21,14.6,0.88
1641034800,2,380.52,0.38,6.77,85.83,15.5,19.55,21.07,0.97
1641038400,3,420.57,0.2,8.23,86.55,15.26,24.12,25.74,0.97
1641042000,4,467.3,0.01,8.65,87.26,12.52,27.28,29.31,1.17
1641045600,4,514.03,0,8.65,85.12,11.44,31.78,34.55,1.41
1641049200,4,547.41,0,8.74,83.68,11.68,35.95,39.45,1.41
1641052800,4,554.08,0,8.31,81.54,11.09,37.53,41.58,1.38
1641056400,4,540.73,0,7.54,77.25,10.25,33.87,37.83,1.36
1641060000,4,500.68,0,6.68,71.53,9.06,26.34,29.8,1.27
1641063600,3,460.62,0,5.83,65.09,7.33,22.44,25.62,1.35
1641067200,3,447.27,0,4.93,60.08,5.25,22.36,26.03,1.6
1641070800,3,433.92,0,4.24,56.51,4.05,24.15,28.62,1.79
1641074400,4,433.92,0,4.2,50.78,3.4,26.86,32.1,2.15
1641078000,4,440.6,0,4.5,44.35,3.07,30.36,36.5,2.63
1641081600,4,453.95,0,5.18,38.27,3.07,34.53,41.68,3.13
1641085200,4,480.65,0,6.6,33.62,3.34,38.72,47.36,3.39
1641088800,4,540.73,0.05,9.85,30.04,4.23,43.29,54.36,3.26
1641092400,4,567.44,0.51,11.48,35.76,6.26,43.75,56.31,3.04
1641096000,4,413.89,0.54,9.68,68.66,22.41,28.47,37.68,0.66
1641099600,4,380.52,0.55,7.8,75.82,20.27,25.4,33.97,0.49
1641103200,4,363.83,0.49,6.17,78.68,17.17,27.72,36.06,0.36
1641106800,3,330.45,0.61,4.76,75.1,14.54,22.52,28.35,0.4
1641110400,2,307.08,0.62,3.9,70.81,12.64,16.84,20.81,0.55
1641114000,2,297.07,0.6,3.47,69.38,11.32,15.32,18.7,0.64
1641117600,2,300.41,0.61,3.9,70.81,12.16,15.93,19.21,0.77
