date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,1,427.25,0,5.31,41.84,3.73,7.83,8.9,0.85
1640998800,1,417.23,0,4.5,42.56,3.52,6.94,7.95,0.86
1641002400,1,407.22,0,4.76,42.2,3.87,6.32,7.29,0.89
1641006000,1,403.88,0.05,5.91,40.77,4.77,6.53,7.49,0.85
1641009600,1,397.21,0.47,6.25,41.84,5.66,7.8,8.81,0.67
1641013200,1,393.87,1.02,5.65,47.92,6.68,8.92,9.86,0.46
1641016800,2,393.87,1.17,5.18,60.08,7.21,10.92,11.83,0.35
1641020400,2,397.21,0.92,4.76,73.67,6.85,13.25,14.16,0.34
1641024000,2,397.21,0.59,4.28,79.39,5.6,15.25,16.2,0.38
1641027600,2,390.53,0.34,3.51,78.68,3.99,14.98,15.92,0.46
1641031200,2,380.52,0.23,3.04,79.39,3.13,13.02,13.9,0.5
1641034800,2,377.18,0.2,3,81.54,3.1,11.72,12.61,0.52
1641038400,2,377.18,0.13,3.68,84.4,3.43,11.83,12.72,0.59
1641042000,2,373.84,0.01,4.11,80.82,3.4,10.86,11.61,0.55
1641045600,2,370.5,0,4.24,75.1,3.34,10.44,11.13,0.54
1641049200,2,367.16,0,4.37,69.38,3.34,12.1,12.8,0.57
1641052800,2,363.83,0,4.11,66.52,3.25,14.53,15.18,0.54
1641056400,2,367.16,0,4.76,61.51,3.58,16.24,16.9,0.59
1641060000,2,373.84,0,6.43,54.36,4.17,17.43,18.26,0.68
1641063600,3,390.53,0,7.63,51.5,4.71,20.84,22.14,0.75
1641067200,3,400.54,0,6.43,57.94,4.05,24.4,26.15,0.8
1641070800,3,403.88,0,4.54,67.95,3.22,24.3,26.09,0.72
1641074400,4,413.89,0,3.47,74.39,3.16,25.53,27.56,0.64
1641078000,4,440.6,0,3.17,77.96,3.93,27.59,29.47,0.49
1641081600,4,460.62,0,3.21,79.39,5.19,28.08,29.52,0.39
1641085200,4,473.98,0,3.38,80.11,6.08,26.98,28.18,0.34
1641088800,4,473.98,0,4.24,76.53,6.85,25.76,26.93,0.36
1641092400,4,467.3,0.05,5.74,72.24,7.63,26.53,27.9,0.38
1641096000,4,453.95,0.16,6.17,70.81,7.39,26.71,28.25,0.29
1641099600,4,433.92,0.23,5.83,72.24,6.26,27.68,29.38,0.22
1641103200,4,427.25,0.28,5.48,75.1,5.36,31.21,33.02,0.22
1641106800,4,420.57,0.44,4.76,79.39,4.95,32.05,33.78,0.3
1641110400,4,410.56,0.41,3.94,83.68,4.29,30.4,31.93,0.42
1641114000,4,393.87,0.35,3.13,88.69,3.7,26.98,28.29,0.52
1641117600,3,377.18,0.29,2.61,91.55,3.31,21.83,23.07,0.53
1641121200,2,357.15,0.2,2.23,89.41,2.77,19.68,21.24,0.42
1641124800,3,340.46,0.11,2.18,85.12,2.32,22.44,25.39,0.32
1641128400,4,337.12,0.01,2.14,81.54,1.97,25.18,30.8,0.25
1641132000,4,340.46,0,2.14,80.11,2.06,27.19,35.14,0.28
1641135600,4,347.14,0,2.12,80.11,2.15,28.9,38.21,0.35
1641139200,4,353.81,0,1.97,80.82,2.15,29.98,39.62,0.4
1641142800,4,357.15,0,2.01,81.54,2.24,31.07,40.87,0.47
1641146400,4,360.49,0,2.23,81.54,2.32,31.24,40.74,0.57
1641150000,4,363.83,0,2.74,78.68,2.65,31.6,41.9,0.73
1641153600,4,373.84,0,3.56,74.39,3.4,33.42,45.48,0.93
1641157200,4,387.19,0,4.07,70.81,3.81,36.53,51.6,1.12
1641160800,4,400.54,0,4.41,68.66,4.23,40.09,58.63,1.28
1641164400,4,403.88,0,4.2,67.23,4.23,42.09,62.38,1.33
1641168000,4,397.21,0,3.86,66.52,3.99,42.21,62.48,1.27
1641171600,4,390.53,0,3.6,66.52,3.78,41.9,63.74,1.22
1641175200,4,390.53,0.01,4.33,65.8,4.41,42.27,64.47,1.08
1641178800,4,393.87,0.17,5.65,65.09,5.66,43.46,65.18,0.86
1641182400,4,390.53,0.46,5.83,67.23,6.2,41.96,62.58,0.63
1641186000,4,380.52,0.64,5.23,72.96,6.2,39.29,57.76,0.53
1641189600,4,377.18,0.62,4.46,84.4,6.02,38.26,54.79,0.54
1641193200,4,367.16,0.5,3.6,100.14,6.02,37.42,51.47,0.59
1641196800,4,353.81,0.35,3.04,105.86,5.36,33.39,44.29,0.64
1641200400,4,343.8,0.29,2.83,108.72,4.77,29.14,37.93,0.7
1641204000,4,340.46,0.23,2.87,113.01,3.99,28.89,38.18,0.83
1641207600,4,343.8,0.14,3.13,115.87,3.31,30.59,41.62,0.78
1641211200,4,350.48,0.05,3.68,120.16,3.04,34.69,49.36,0.62
1641214800,4,347.14,0,3.47,118.73,2.47,37.14,55.31,0.44
1641218400,4,340.46,0,3.04,110.15,2.03,34.86,53.01,0.37
1641222000,4,347.14,0,2.96,107.29,2.29,35.89,53.9,0.25
1641225600,4,360.49,0,2.91,105.86,2.95,39.51,57.08,0.04
1641229200,4,377.18,0,3.13,103,3.37,42.97,60.73,0
1641232800,4,387.19,0,3.56,98.71,3.87,44.63,62.76,0.06
1641236400,4,390.53,0,4.03,92.98,4.53,45.51,64.19,0.22
1641240000,4,387.19,0,4.2,87.98,4.95,46.5,66.25,0.36
