date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,4,433.92,0,8.05,47.21,8.7,37.13,43.27,0.78
1640998800,4,427.25,0,5.91,52.21,6.44,37.85,43.22,0.8
1641002400,4,433.92,0,5.57,53.64,6.26,34.4,38.39,0.86
1641006000,4,433.92,0,6,52.93,6.74,28.39,31.28,0.88
1641009600,3,433.92,0.03,7.88,50.78,8.94,24.7,26.83,0.8
1641013200,4,433.92,0.16,12.17,47.21,14.07,25.75,27.48,0.69
1641016800,4,433.92,0.46,18.16,44.35,23.84,28.52,29.94,0.52
1641020400,4,433.92,1.24,19.02,49.35,29.8,28.72,29.83,0.42
1641024000,4,427.25,1.44,16.11,56.51,28.37,31.64,32.65,0.53
1641027600,4,403.88,1.01,10.37,67.23,19.31,26.56,27.44,0.73
1641031200,3,380.52,0.64,7.11,76.53,12.28,21.96,22.87,0.98
1641034800,4,383.85,0.57,7.97,80.82,12.76,27.02,28.26,1.12
1641038400,4,393.87,0.33,10.8,78.68,15.74,33.28,34.97,1.14
1641042000,4,403.88,0.01,14.74,68.66,19.31,36.02,38.27,1.19
1641045600,4,427.25,0,18.51,58.65,25.03,38.39,41.7,1.12
1641049200,4,467.3,0,21.08,52.93,30.52,45.87,51.04,0.97
1641052800,5,507.35,0,20.05,53.64,30.99,55.25,61.32,0.86
1641056400,5,527.38,0,16.79,57.22,26.23,59.62,65.81,0.82
1641060000,5,514.03,0,13.88,59.37,20.74,61.07,67.48,0.69
1641063600,5,494,0,12,58.65,17.17,62.15,68.92,0.48
1641067200,5,487.33,0,10.88,55.07,14.78,64.73,72.07,0.47
1641070800,5,487.33,0,10.71,51.5,14.66,68.12,75.46,0.42
1641074400,5,494,0,10.71,49.35,14.66,72.64,80.02,0.27
1641078000,5,507.35,0,9.68,48.64,12.52,77.58,85.16,0.18
1641081600,5,514.03,0,8.05,49.35,9.06,80.24,89.25,0.45
1641085200,5,520.71,0,6.68,50.07,6.2,80.07,92.66,0.77
1641088800,5,520.71,0,6.34,52.21,5.07,80.63,96.95,0.89
1641092400,5,500.68,0.08,6.51,56.51,5.36,78.24,95.3,0.71
1641096000,5,467.3,0.14,7.2,69.38,8.46,72.15,85.56,0
1641099600,5,460.62,0.2,9.17,73.67,11.68,67.61,78.27,0
1641103200,5,453.95,0.24,12.68,75.82,18.12,65.1,73.96,0
1641106800,5,433.92,0.58,12.34,84.4,22.89,53.5,60.23,0.05
1641110400,4,427.25,0.75,9.08,95.84,23.37,45.24,51.24,0.2
1641114000,4,413.89,0.51,5.4,110.15,19.07,41.63,48.31,0.3
1641117600,4,390.53,0.3,3.73,113.01,13.71,37.13,45.76,0.64
1641121200,4,380.52,0.18,4.07,104.43,10.13,33.56,44.39,1.23
1641124800,4,383.85,0.05,5.01,94.41,7.33,31.64,43.67,1.82
1641128400,4,397.21,0,6,83.68,6.14,33.57,47.14,2.28
1641132000,4,413.89,0,6.94,75.1,6.62,37.95,52.94,2.28
1641135600,4,423.91,0,8.23,67.95,8.58,42.86,58.61,1.84
1641139200,4,423.91,0,9.34,62.94,11.92,46.87,63.89,1.39
1641142800,5,427.25,0,10.97,59.37,16.21,50.34,69.13,1.11
1641146400,5,427.25,0,13.19,55.79,21.46,54.3,74.97,0.87
1641150000,5,427.25,0,14.74,52.93,24.8,58.11,80.27,0.75
1641153600,5,440.6,0,14.91,51.5,23.6,62.02,85.9,0.84
1641157200,5,453.95,0,13.37,52.93,19.07,66.13,92,0.9
1641160800,5,473.98,0,10.97,55.07,13.95,70.18,98.25,0.89
1641164400,5,487.33,0,8.74,55.79,10.01,72.89,102.7,0.92
1641168000,5,494,0,7.2,54.36,7.75,73.11,102.95,1
1641171600,5,500.68,0,6.85,52.93,6.74,70.12,99.14,1.11
1641175200,5,500.68,0.03,7.37,52.93,6.74,65.82,93.63,1.2
1641178800,5,487.33,0.51,7.28,57.94,7.27,61.95,88.48,1.14
1641182400,5,440.6,0.99,6.68,75.82,10.97,55.8,78.4,0.36
1641186000,5,433.92,1.12,6.6,90.84,13.59,55.78,75.88,0.24
1641189600,5,440.6,1.05,6.68,107.29,16.93,61.34,80.63,0.05
1641193200,5,423.91,0.85,6.51,118.73,20.27,60.6,77.21,0
1641196800,5,417.23,0.59,7.28,124.45,26.7,61.15,74.07,0
1641200400,5,433.92,0.28,8.4,133.04,33.38,64.55,75.67,0
1641204000,5,440.6,0.24,9,128.75,32.42,60.3,70.6,0.11
1641207600,5,440.6,0.41,10.02,117.3,27.18,52.51,62.76,0.95
1641211200,4,433.92,0.29,11.65,98.71,20.27,45.58,55.98,1.66
1641214800,4,440.6,0.01,11.48,84.4,13.83,45.16,57.52,2.15
1641218400,4,453.95,0,10.28,79.39,10.37,48.39,63.08,2.44
1641222000,5,453.95,0,9.42,77.25,8.58,50.03,65.33,2.37
1641225600,5,453.95,0,8.83,75.82,8.46,51.81,67.05,2.12
1641229200,5,460.62,0,9.68,72.96,10.97,54.91,70.51,1.87
1641232800,5,467.3,0,12,67.95,16.69,60.02,76.3,1.46
1641236400,5,473.98,0,15.08,62.23,24.8,66.32,83.36,1.06
1641240000,5,487.33,0,17.31,56.51,29.56,72.7,90.44,0.94
1641243600,5,507.35,0,17.31,54.36,28.37,76.89,95.28,0.96
1641247200,5,514.03,0,15.25,55.79,23.6,79.07,98.06,0.91
1641250800,5,507.35,0,12,60.8,17.64,79.6,98.83,0.82
1641254400,5,500.68,0,8.83,65.8,11.68,79.1,98.4,0.79
1641258000,5,507.35,0,7.37,67.23,8.58,79.23,98.52,0.81
1641261600,5,527.38,0.03,7.71,65.09,8.11,80.92,100.68,0.74
1641265200,5,527.38,0.57,7.54,66.52,8.11,80.58,100.63,0.34
1641268800,5,467.3,0.58,6.51,83.68,9.06,72.26,90.49,0
1641272400,5,440.6,0.64,5.23,100.14,9.78,67.97,84.86,0
1641276000,5,427.25,0.57,4.37,117.3,10.73,67.84,83.77,0
1641279600,5,403.88,0.4,3.6,124.45,10.61,55.41,67.67,0
1641283200,4,380.52,0.37,3.56,125.89,12.52,45.1,54.54,0
1641286800,4,370.5,0.39,4.11,130.18,17.64,45.74,54.74,0
1641290400,5,383.85,0.47,5.57,134.47,22.89,51.64,61.29,0.13
1641294000,5,413.89,0.5,8.83,134.47,27.18,57.15,67.79,1.16
1641297600,5,427.25,0.25,12.68,121.59,26.7,55.05,66.11,2.12
1641301200,4,407.22,0.01,13.54,101.57,20.5,44.75,55.71,2.98
1641304800,4,387.19,0,11.65,85.12,13.71,37.64,48.69,3.55
1641308400,4,397.21,0,9.85,80.11,8.23,40.13,51.97,3.64
1641312000,4,427.25,0,8.83,80.11,5.6,46.93,60,3.7
1641315600,5,467.3,0,9.42,77.25,5.78,53.43,67.79,3.74
1641319200,5,487.33,0,10.62,71.53,7.39,59.02,73.85,3.2
1641322800,5,487.33,0,12,65.8,10.73,64.4,79.06,2.5
1641326400,5,494,0,14.05,61.51,16.21,70.51,85.11,1.96
1641330000,5,500.68,0,15.25,60.08,20.74,76.13,91.48,1.54
1641333600,5,500.68,0,13.19,63.66,19.55,78.6,95.35,1.28
1641337200,5,494,0,9.6,67.23,14.54,78.41,96.28,1.25
1641340800,5,494,0,7.03,68.66,10.73,78,96.24,1.3
1641344400,5,494,0,6.17,67.95,9.42,77.34,95.63,1.46
1641348000,5,500.68,0.06,7.03,67.23,9.66,76.39,94.92,1.76
1641351600,5,487.33,0.56,7.11,72.24,10.01,73.87,92.11,1.8
1641355200,5,433.92,0.8,5.48,91.55,10.25,67.69,85.13,1.19
1641358800,5,417.23,0.73,4.46,108.72,10.49,67.72,85.27,1.09
1641362400,5,410.56,0.53,3.51,127.32,10.85,72.1,90.05,0.93
1641366000,5,377.18,0.33,2.46,140.19,9.78,66.07,81.38,0.39
1641369600,5,353.81,0.25,1.99,141.62,7.51,57.15,69.95,0.44
1641373200,5,347.14,0.24,2.06,147.34,7.27,56.42,68.81,0.43
1641376800,5,390.53,0.5,4.54,138.76,9.06,61.74,75.25,2.06
1641380400,5,467.3,0.77,9.25,123.02,11.21,71.27,86.87,4.5
1641384000,5,554.08,0.49,16.62,101.57,14.42,79.59,97.31,6.71
1641387600,5,627.52,0.02,23.31,78.68,19.31,87.81,107.39,8.61
1641391200,5,660.9,0,25.02,65.09,21.93,90.66,110.64,9.25
1641394800,5,640.87,0,20.73,65.09,16.21,84.01,102.67,8.61
1641398400,5,587.46,0,13.19,80.11,7.75,77.02,94.88,6.9
1641402000,5,587.46,0,10.71,85.12,5.01,78.19,96.52,5.26
1641405600,5,560.76,0,9.51,82.97,3.87,75.4,92.66,3.51
1641409200,5,520.71,0,9,72.96,4.29,69.26,84.53,2.5
1641412800,5,500.68,0,10.02,60.8,7.39,65.63,79.39,2.09
1641416400,5,487.33,0,12.68,50.78,12.76,67.11,80.52,1.73
1641420000,5,494,0,14.74,45.78,17.4,71.04,85.15,1.42
1641423600,5,487.33,0,13.19,47.92,16.45,71.54,86.67,1.36
1641427200,5,473.98,0,10.37,52.21,12.52,68.02,83.61,1.44
1641430800,5,467.3,0,8.65,54.36,9.18,64.84,80.79,1.63
1641434400,5,473.98,0.07,9.17,52.93,9.06,63.04,79.65,1.84
1641438000,5,473.98,1.02,9.68,53.64,11.92,61.74,78.47,1.74
1641441600,5,413.89,1.87,9.68,65.8,20.5,55.75,70.09,0.53
1641445200,5,410.56,2.07,10.2,72.96,22.89,57.14,70.03,0.32
1641448800,5,413.89,1.9,10.8,82.25,25.99,60.28,71.71,0.09
1641452400,5,383.85,1.24,9.94,86.55,26.23,53.11,62.1,0
1641456000,5,370.5,1.2,8.57,91.55,26.94,50.27,57.72,0
1641459600,5,390.53,0.98,7.28,104.43,26.7,55.17,61.7,0.12
1641463200,5,410.56,0.67,6.08,111.58,19.55,55.48,61.34,0.92
1641466800,4,413.89,0.51,6.68,103,12.64,48.3,53.88,2.15
1641470400,4,403.88,0.27,8.14,85.12,7.75,35.79,41.36,3.26
1641474000,3,393.87,0.01,8.91,67.23,4.77,24.85,30.44,4.31
1641477600,2,397.21,0,8.91,55.07,3.78,19.35,25.26,4.81
1641481200,2,407.22,0,9,47.92,3.52,18.16,24.76,4.81
1641484800,2,420.57,0,8.91,42.92,3.28,19.42,27.04,4.37
1641488400,3,440.6,0,9.17,38.98,3.34,21.95,30.8,3.7
1641492000,3,440.6,0,9.42,35.41,3.58,23.69,33.05,2.98
1641495600,4,433.92,0,10.37,30.4,4.59,25.44,34.65,2.69
1641499200,4,440.6,0.01,12.34,23.96,6.38,28.73,38.15,2.72
1641502800,4,447.27,0.02,15.08,17.88,8.23,33.3,43.12,2.79
1641506400,4,453.95,0.05,18.34,13.05,10.13,38.81,48.72,2.6
1641510000,4,460.62,0.08,20.39,10.28,11.32,43.94,54.08,2.37
1641513600,4,460.62,0.12,20.91,9.39,11.8,47.24,57.75,2.25
1641517200,4,473.98,0.21,20.39,9.12,11.92,48.56,60.03,2.31
1641520800,4,507.35,0.83,19.88,9.12,12.87,49.22,62.74,2.47
1641524400,4,500.68,4.75,14.91,16.99,15.26,48.63,63.19,2.09
1641528000,5,403.88,5.2,12.51,33.62,24.08,50.82,63.23,0
1641531600,4,383.85,4.81,12.34,42.92,24.8,49.2,60.05,0
1641535200,4,387.19,4.25,13.37,50.07,25.51,47.85,57.18,0
1641538800,4,367.16,2.29,12.85,58.65,23.13,38.53,45.38,0
1641542400,4,363.83,1.49,13.02,59.37,24.08,31.75,37.26,0.17
1641546000,4,373.84,1.01,15.94,52.93,29.8,30.74,35.75,0.46
1641549600,4,400.54,1.29,19.02,45.78,33.86,32.45,37.34,1.36
1641553200,4,440.6,1.05,21.42,40.41,30.52,34.44,39.27,2.85
1641556800,4,460.62,0.38,20.73,39.34,20.74,31.54,35.81,4.43
1641560400,4,453.95,0.01,16.11,41.84,10.25,25,28.72,5.76
1641564000,3,453.95,0,12.68,42.56,5.78,22.03,25.98,5.89
1641567600,3,460.62,0,12.17,41.13,4.65,23.33,27.99,5.32
1641571200,4,467.3,0,11.48,40.41,3.99,26.05,31.54,4.37
1641574800,4,473.98,0,10.45,40.05,3.52,29.93,36.44,3.48
1641578400,4,460.62,0,9.17,40.05,2.95,33.46,41,2.85
1641582000,4,440.6,0,8.23,37.91,2.89,36.03,44.48,2.34
