date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,1,433.92,0,3.34,41.13,1.51,7.71,9.09,0.94
1640998800,1,417.23,0,3,42.56,1.67,7.26,8.51,0.82
1641002400,1,407.22,0.01,3.6,41.84,2.29,8.73,10.08,0.79
1641006000,2,403.88,0.12,4.67,40.05,3.34,11.53,13.06,0.74
1641009600,2,400.54,0.43,5.27,41.13,4.35,13.63,15.05,0.64
1641013200,2,390.53,0.7,4.76,47.21,4.77,13.94,15.19,0.6
1641016800,2,377.18,0.59,3.6,62.23,4.59,13.65,14.78,0.55
1641020400,2,367.16,0.28,2.18,77.25,3.52,12.97,13.9,0.49
1641024000,2,367.16,0.16,1.84,82.97,2.77,12.97,13.77,0.52
1641027600,2,373.84,0.14,2.16,82.97,2.68,13.44,14.16,0.6
1641031200,2,383.85,0.15,2.96,80.11,2.86,13.48,14.13,0.74
1641034800,2,390.53,0.17,3.94,77.25,3.07,13.42,14.08,0.95
1641038400,2,397.21,0.11,5.06,75.82,2.95,13.4,14.07,1.09
1641042000,2,410.56,0.01,6.51,74.39,2.62,14.29,15.15,1.31
1641045600,2,427.25,0,7.28,74.39,2.35,16.36,17.62,1.46
1641049200,2,453.95,0,7.37,73.67,2.38,18.71,20.34,1.54
1641052800,3,467.3,0,7.2,70.81,2.47,20.16,21.88,1.46
1641056400,3,473.98,0,7.03,65.09,2.59,20.49,22.02,1.23
1641060000,2,467.3,0,6.68,58.65,2.53,19.84,21.01,1.03
1641063600,2,453.95,0,6.08,54.36,2.18,19.09,20.11,0.96
1641067200,3,440.6,0,5.23,52.93,1.83,20.46,21.81,0.99
1641070800,3,423.91,0,4.24,55.79,2.12,24.48,26.43,0.91
1641074400,4,427.25,0,3.86,59.37,4.17,29.11,31.63,0.65
1641078000,4,447.27,0,3.98,61.51,7.09,33.24,35.95,0.42
1641081600,4,473.98,0,4.07,63.66,8.7,35.33,37.84,0.32
1641085200,4,480.65,0,3.9,67.23,8.34,35.93,38.35,0.33
1641088800,4,480.65,0,3.94,70.1,7.45,34.74,37.23,0.42
1641092400,4,467.3,0.04,4.2,72.96,6.44,33.32,35.88,0.43
1641096000,4,440.6,0.11,3.6,78.68,4.95,28.66,30.91,0.25
1641099600,4,427.25,0.13,3.38,78.68,4.47,31.87,34.34,0.05
1641103200,4,417.23,0.11,3.47,75.82,4.29,38.03,40.95,0
1641106800,4,397.21,0.11,2.96,76.53,3.37,33.35,35.68,0
1641110400,4,383.85,0.14,2.66,77.96,2.77,27.7,29.35,0.1
1641114000,4,377.18,0.15,2.61,80.82,2.74,25.22,26.59,0.28
1641117600,4,380.52,0.17,2.78,87.26,2.98,26.8,27.95,0.48
1641121200,4,390.53,0.18,3.21,94.41,3.4,29.23,30.32,0.79
1641124800,4,387.19,0.12,3.9,95.84,3.31,26.22,27.39,1.04
1641128400,3,370.5,0.01,4.58,87.26,2.89,23.68,25.56,1.27
1641132000,3,357.15,0,4.28,79.39,2.03,24.86,29.04,1.49
1641135600,4,357.15,0,3.94,76.53,1.43,26.88,35.08,1.66
1641139200,4,360.49,0,3.6,74.39,1.15,28.34,41.54,1.73
1641142800,4,363.83,0,3.26,73.67,1.09,28.7,45.21,1.69
1641146400,4,367.16,0,3.04,74.39,1.24,29.81,48.38,1.68
1641150000,4,377.18,0,3.13,73.67,1.79,32.19,53.51,1.71
1641153600,4,390.53,0,3.43,70.1,2.5,36.14,60.98,1.8
1641157200,4,407.22,0,3.47,67.23,2.71,39.89,66.32,1.88
1641160800,4,417.23,0,3.21,66.52,2.29,42.29,67.18,1.87
1641164400,4,417.23,0,2.78,66.52,1.74,43.29,65.1,1.61
1641168000,4,413.89,0,2.66,65.8,1.73,43.4,62.53,1.25
1641171600,4,410.56,0,2.96,62.94,2.41,43.61,61.09,0.96
1641175200,4,410.56,0.01,3.98,60.08,4.11,45.8,63.18,0.74
1641178800,4,413.89,0.12,5.27,57.94,6.2,48.72,66.82,0.54
1641182400,4,393.87,0.29,4.76,60.8,5.96,42.65,58.19,0.31
1641186000,4,383.85,0.35,4.11,65.09,5.42,38.58,52.39,0.26
1641189600,4,373.84,0.3,3.26,70.81,4.71,34.13,45.88,0.23
1641193200,4,333.79,0.22,2.03,75.1,3.43,25.59,33.44,0.25
1641196800,3,310.42,0.15,1.44,78.68,2.47,20.21,25.81,0.34
1641200400,2,303.75,0.13,1.34,83.68,2.21,18.29,23.05,0.45
1641204000,2,303.75,0.12,1.59,87.26,2.32,17.84,22.03,0.59
1641207600,2,310.42,0.1,2.4,88.69,2.71,18.62,22.9,0.86
1641211200,2,323.77,0.04,3.81,90.12,3.25,19.98,24.73,1.19
1641214800,4,357.15,0,6.34,94.41,3.87,25.66,32.83,1.96
1641218400,4,380.52,0,7.2,103,3.93,33.22,44.08,2.47
1641222000,4,387.19,0,6.85,105.86,3.55,37.19,51.11,2.6
1641225600,4,380.52,0,6.25,104.43,3.1,37.93,53.83,2.41
1641229200,4,383.85,0,5.44,100.14,2.77,39.05,55.41,2.12
1641232800,4,390.53,0,4.8,95.84,2.65,41.54,57.84,1.96
1641236400,4,400.54,0,4.33,88.69,3.13,45.11,61.98,1.85
1641240000,4,407.22,0,3.98,82.25,3.58,48.67,66.93,1.82
1641243600,5,410.56,0,3.56,78.68,3.49,50.19,69.08,1.69
1641247200,4,407.22,0,3.17,76.53,3.07,49.99,68.6,1.57
1641250800,5,413.89,0,3.04,74.39,2.59,50.28,68.43,1.57
1641254400,5,423.91,0,3.3,70.81,2.26,51.11,68.86,1.6
1641258000,5,433.92,0,3.77,68.66,2.18,51.95,69.18,1.54
1641261600,5,440.6,0.01,4.67,68.66,2.24,53.15,70.12,1.52
