date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1640995200,4,357.15,0,1.27,81.54,0.62,28.71,31.92,0.73
1640998800,4,343.8,0,1.39,78.68,0.63,25.24,28.75,0.74
1641002400,3,340.46,0,1.88,75.82,0.73,20.97,24.27,0.78
1641006000,2,350.48,0.11,2.36,74.39,0.83,17.19,20.06,0.81
1641009600,2,367.16,0.17,2.06,80.82,0.93,15.28,17.83,0.7
1641013200,3,390.53,0.13,1.91,84.4,1.12,22.9,25.91,0.69
1641016800,4,403.88,0.05,1.65,86.55,1.31,37.72,41.65,0.53
1641020400,4,410.56,0.02,1.12,91.55,1.51,41.23,45.2,0.02
1641024000,4,407.22,0.03,0.95,90.12,1.77,37.32,40.71,0
1641027600,4,403.88,0.03,0.95,89.41,2.32,38.92,42.31,0
1641031200,4,393.87,0.05,1.08,90.12,2.68,42.69,46.55,0
1641034800,4,383.85,0.06,1.41,90.12,2.56,44.93,49.8,0
1641038400,4,380.52,0.03,1.95,89.41,2.24,45.76,51.59,0
1641042000,4,390.53,0,2.96,87.98,2.03,49.54,56.95,0
1641045600,5,410.56,0,3.86,85.83,2,55.63,65.43,0.13
1641049200,5,423.91,0,4.07,84.4,1.91,60.52,72.94,0.48
1641052800,5,433.92,0,4.2,81.54,1.77,63.81,78.83,0.7
1641056400,5,440.6,0,4.54,75.82,1.61,65.3,83.23,0.93
1641060000,5,433.92,0,4.58,70.81,1.33,64.65,84.68,1.01
1641063600,5,423.91,0,4.2,66.52,1.04,62.21,82.92,0.99
1641067200,5,413.89,0,3.56,64.37,0.88,58.84,79.45,0.97
1641070800,5,403.88,0,3.04,62.94,0.77,54.79,74.67,0.96
1641074400,5,397.21,0,2.74,60.08,0.7,50.81,69.47,1
1641078000,4,393.87,0,2.7,56.51,0.66,47.78,65.28,1.09
1641081600,4,393.87,0,2.87,52.93,0.68,45.47,61.87,1.2
1641085200,4,397.21,0,3.34,51.5,0.77,43.12,59.3,1.25
1641088800,4,413.89,0.01,4.5,52.21,1.01,41.34,58.52,1.27
1641092400,4,417.23,0.14,4.67,62.23,1.15,39.94,58.41,1.01
1641096000,4,387.19,0.16,2.08,85.12,0.98,37.89,55.09,0.31
1641099600,4,383.85,0.16,1.48,90.12,0.98,37.16,51.2,0.47
1641103200,4,387.19,0.12,1.04,95.84,1.01,37.8,48.93,0.57
1641106800,4,377.18,0.07,0.68,95.84,0.95,34.68,42.9,0.45
1641110400,4,367.16,0.06,0.62,92.98,0.88,31.73,38.6,0.48
1641114000,4,367.16,0.06,0.63,91.55,0.87,32.28,39.78,0.48
1641117600,4,363.83,0.08,0.75,88.69,0.92,32.65,41.52,0.54
1641121200,4,363.83,0.1,1.19,86.55,1.06,34.82,45.17,0.73
1641124800,4,373.84,0.06,1.99,85.12,1.22,37.8,49.66,0.87
1641128400,4,393.87,0,2.87,85.12,1.39,42.61,56.18,1.11
1641132000,4,413.89,0,3.34,83.68,1.55,48.13,63.85,1.46
1641135600,5,427.25,0,3.38,82.97,1.59,52,69.64,1.39
1641139200,5,440.6,0,3.64,81.54,1.58,55.47,75.01,1.23
1641142800,5,453.95,0,4.07,75.82,1.51,58.67,79.5,1.22
1641146400,5,453.95,0,4.28,70.81,1.28,60.39,81.58,1.17
1641150000,5,453.95,0,4.16,65.8,1.04,62.06,82.93,1.12
1641153600,5,447.27,0,3.86,62.94,0.98,63.61,84.31,1.11
1641157200,5,453.95,0,3.47,62.23,0.94,65.2,85.18,1.06
1641160800,5,453.95,0,3.13,62.94,0.92,67.29,86.47,1.01
1641164400,5,460.62,0,2.91,64.37,0.97,69.73,88.68,0.95
1641168000,5,467.3,0,2.91,67.23,1.07,72.47,91.41,0.91
1641171600,5,480.65,0,3.43,70.1,1.25,75.4,95.39,0.89
1641175200,5,507.35,0.01,4.8,74.39,1.61,78.47,100.67,0.89
1641178800,5,514.03,0.13,5.23,85.12,1.86,79.25,102.27,0.54
1641182400,5,467.3,0.15,2.36,108.72,1.73,70.85,90.31,0
1641186000,5,453.95,0.15,1.67,111.58,1.68,66.77,84.5,0
1641189600,5,447.27,0.12,1.19,114.44,1.65,62.42,78.67,0
1641193200,5,433.92,0.09,0.85,114.44,1.62,50.43,62.6,0
1641196800,4,423.91,0.08,0.8,111.58,1.59,42.44,51.56,0
1641200400,4,423.91,0.08,0.91,111.58,1.64,41.23,49.13,0
1641204000,4,433.92,0.1,1.23,111.58,1.79,42.97,50.11,0
1641207600,4,440.6,0.11,1.88,110.15,1.88,46.27,53,0
1641211200,4,447.27,0.05,2.87,105.86,1.94,48.81,55.47,0.04
1641214800,5,460.62,0,3.68,103,2,52.4,59.87,0.38
1641218400,5,467.3,0,3.9,100.14,2.03,57.6,66.78,0.82
1641222000,5,473.98,0,3.81,97.27,1.91,62.39,73.22,0.98
1641225600,5,487.33,0,4.28,92.98,1.86,65.72,77.95,1.25
1641229200,5,500.68,0,5.06,85.12,1.82,68.32,81.86,1.42
1641232800,5,507.35,0,5.57,77.96,1.56,69.36,83.46,1.39
1641236400,5,500.68,0,5.57,70.81,1.22,69.9,83.83,1.35
1641240000,5,494,0,5.18,64.37,1.04,69.94,83.73,1.3
1641243600,5,487.33,0,4.71,60.8,0.95,70.21,83.54,1.2
1641247200,5,473.98,0,4.2,60.08,0.94,70.16,82.77,1.08
1641250800,5,460.62,0,3.64,63.66,1.03,69.92,82.46,0.91
1641254400,5,447.27,0,3.17,71.53,1.22,69.2,82.56,0.63
1641258000,5,433.92,0,3.04,80.82,1.52,68.63,82.96,0.27
1641261600,5,440.6,0.01,3.9,81.54,1.77,68.55,83.99,0.3
1641265200,5,440.6,0.14,4.41,86.55,1.94,67.93,84.06,0.12
1641268800,5,400.54,0.14,2.25,105.86,1.82,60.81,74.56,0
1641272400,5,393.87,0.12,1.8,108.72,1.85,57.57,69.76,0
1641276000,5,393.87,0.1,1.67,111.58,1.86,54.95,66.9,0
1641279600,4,387.19,0.09,1.35,114.44,1.85,46.33,56.41,0
1641283200,4,377.18,0.08,1.1,114.44,1.71,40.78,49.46,0
1641286800,4,370.5,0.08,1,113.01,1.55,39.24,47.07,0
1641290400,4,363.83,0.08,1.08,111.58,1.53,38.77,45.59,0.05
1641294000,4,357.15,0.07,1.52,110.15,1.64,39.91,46.31,0.19
1641297600,4,363.83,0.03,2.29,110.15,1.88,44.69,51.39,0.23
1641301200,5,397.21,0,3.64,110.15,2.35,56.4,64.55,0.55
1641304800,5,433.92,0,4.58,108.72,2.74,69.02,79.31,1.17
1641308400,5,460.62,0,4.8,107.29,2.8,76.25,88.44,1.58
1641312000,5,487.33,0,5.23,103,2.65,79.83,93.61,1.73
1641315600,5,520.71,0,6.51,90.84,2.44,82.31,97.48,1.77
1641319200,5,534.06,0,7.37,79.39,2.06,83.3,99.01,1.82
1641322800,5,527.38,0,7.45,68.66,1.58,83.47,98.93,1.93
1641326400,5,520.71,0,7.2,57.22,1.27,84.23,99.41,1.9
1641330000,5,520.71,0,6.77,47.92,1.09,85.53,100.16,1.79
1641333600,5,527.38,0,6.17,44.35,1.06,86.42,100.23,1.68
1641337200,5,520.71,0,5.44,45.78,1.1,86.56,98.9,1.54
1641340800,5,514.03,0,4.97,51.5,1.22,85.62,97.22,1.38
1641344400,5,514.03,0,5.31,57.94,1.49,83.78,95.7,1.28
1641348000,5,547.41,0.12,7.63,58.65,2,82.58,96.85,1.41
1641351600,5,560.76,1.03,8.4,65.8,2.32,79.29,94.77,1.58
1641355200,4,363.83,0.25,2.7,103,1.73,47.37,56.97,0.31
1641358800,4,333.79,0.22,1.86,107.29,1.61,41.43,50.15,0.55
1641362400,4,327.11,0.18,1.34,111.58,1.55,41.21,50.31,0.73
1641366000,4,313.76,0.1,1.12,110.15,1.4,36.17,44.73,0.65
1641369600,4,310.42,0.1,1.19,107.29,1.36,31.73,39.64,0.71
1641373200,4,313.76,0.1,1.35,104.43,1.42,31.27,39.41,0.85
1641376800,4,320.43,0.15,1.59,103,1.61,32.78,41.53,1.08
1641380400,4,337.12,0.18,2.51,101.57,1.86,37.35,47.5,1.49
1641384000,4,357.15,0.11,4.28,98.71,2,41.31,52.71,1.95
1641387600,4,393.87,0,6.77,91.55,2.47,46.15,58.75,2.75
1641391200,5,423.91,0,7.03,87.26,2.74,52.47,66.09,3.29
1641394800,5,440.6,0,6,87.98,2.59,61.74,76.85,3.04
